maneuver_id,scene_key,split
MAN_0069,training_tfexample.tfrecord-00004-of-01000#234,train
MAN_0070,training_tfexample.tfrecord-00004-of-01000#275,train
MAN_0071,training_tfexample.tfrecord-00004-of-01000#281,train
MAN_0072,training_tfexample.tfrecord-00004-of-01000#293,validation
MAN_0073,training_tfexample.tfrecord-00004-of-01000#295,train
MAN_0074,training_tfexample.tfrecord-00004-of-01000#325,train
MAN_0075,training_tfexample.tfrecord-00004-of-01000#329,validation
MAN_0076,training_tfexample.tfrecord-00004-of-01000#364,train
MAN_0077,training_tfexample.tfrecord-00004-of-01000#410,train
MAN_0078,training_tfexample.tfrecord-00004-of-01000#431,train
MAN_0079,training_tfexample.tfrecord-00004-of-01000#431,train
MAN_0080,training_tfexample.tfrecord-00004-of-01000#439,train
MAN_0081,training_tfexample.tfrecord-00004-of-01000#474,train
MAN_0082,training_tfexample.tfrecord-00004-of-01000#491,train
MAN_0083,training_tfexample.tfrecord-00005-of-01000#127,train
MAN_0084,training_tfexample.tfrecord-00005-of-01000#130,train
MAN_0085,training_tfexample.tfrecord-00005-of-01000#145,train
MAN_0086,training_tfexample.tfrecord-00005-of-01000#153,train
MAN_0087,training_tfexample.tfrecord-00005-of-01000#159,validation
MAN_0088,training_tfexample.tfrecord-00005-of-01000#167,validation
MAN_0089,training_tfexample.tfrecord-00005-of-01000#169,train
MAN_0090,training_tfexample.tfrecord-00005-of-01000#187,validation
MAN_0091,training_tfexample.tfrecord-00005-of-01000#247,train
MAN_0092,training_tfexample.tfrecord-00005-of-01000#266,validation
MAN_0093,training_tfexample.tfrecord-00005-of-01000#401,train
MAN_0094,training_tfexample.tfrecord-00006-of-01000#5,validation
MAN_0095,training_tfexample.tfrecord-00006-of-01000#25,train
MAN_0096,training_tfexample.tfrecord-00006-of-01000#27,train
MAN_0097,training_tfexample.tfrecord-00006-of-01000#35,validation
MAN_0098,training_tfexample.tfrecord-00006-of-01000#65,validation
MAN_0099,training_tfexample.tfrecord-00006-of-01000#185,validation
MAN_0100,training_tfexample.tfrecord-00006-of-01000#189,validation
MAN_0101,training_tfexample.tfrecord-00006-of-01000#229,validation
MAN_0102,training_tfexample.tfrecord-00006-of-01000#229,validation
MAN_0103,training_tfexample.tfrecord-00006-of-01000#230,train
MAN_0104,training_tfexample.tfrecord-00006-of-01000#239,validation
MAN_0105,training_tfexample.tfrecord-00006-of-01000#239,validation
MAN_0106,training_tfexample.tfrecord-00006-of-01000#260,train
MAN_0107,training_tfexample.tfrecord-00006-of-01000#283,train
MAN_0108,training_tfexample.tfrecord-00006-of-01000#332,validation
MAN_0109,training_tfexample.tfrecord-00006-of-01000#368,train
MAN_0110,training_tfexample.tfrecord-00006-of-01000#369,train
MAN_0111,training_tfexample.tfrecord-00006-of-01000#402,train
MAN_0112,training_tfexample.tfrecord-00006-of-01000#404,validation
MAN_0113,training_tfexample.tfrecord-00006-of-01000#455,validation
MAN_0114,training_tfexample.tfrecord-00006-of-01000#470,train
MAN_0115,training_tfexample.tfrecord-00006-of-01000#486,train
MAN_0116,training_tfexample.tfrecord-00006-of-01000#489,validation
MAN_0117,training_tfexample.tfrecord-00006-of-01000#506,train
MAN_0118,training_tfexample.tfrecord-00007-of-01000#53,train
MAN_0119,training_tfexample.tfrecord-00007-of-01000#54,train
MAN_0120,training_tfexample.tfrecord-00007-of-01000#95,validation
MAN_0121,training_tfexample.tfrecord-00007-of-01000#97,train
MAN_0122,training_tfexample.tfrecord-00007-of-01000#100,validation
MAN_0123,training_tfexample.tfrecord-00007-of-01000#119,train
MAN_0124,training_tfexample.tfrecord-00007-of-01000#141,train
MAN_0125,training_tfexample.tfrecord-00007-of-01000#273,train
MAN_0126,training_tfexample.tfrecord-00007-of-01000#276,train
MAN_0127,training_tfexample.tfrecord-00007-of-01000#306,train
MAN_0128,training_tfexample.tfrecord-00007-of-01000#337,train
MAN_0129,training_tfexample.tfrecord-00007-of-01000#340,train
MAN_0130,training_tfexample.tfrecord-00007-of-01000#344,train
MAN_0131,training_tfexample.tfrecord-00007-of-01000#366,train
MAN_0132,training_tfexample.tfrecord-00007-of-01000#371,validation
MAN_0133,training_tfexample.tfrecord-00007-of-01000#387,train
MAN_0134,training_tfexample.tfrecord-00007-of-01000#404,train
MAN_0135,training_tfexample.tfrecord-00008-of-01000#11,train
MAN_0136,training_tfexample.tfrecord-00008-of-01000#15,train
MAN_0137,training_tfexample.tfrecord-00008-of-01000#45,train
MAN_0138,training_tfexample.tfrecord-00008-of-01000#130,train
MAN_0139,training_tfexample.tfrecord-00008-of-01000#166,validation
MAN_0140,training_tfexample.tfrecord-00008-of-01000#180,validation
MAN_0141,training_tfexample.tfrecord-00008-of-01000#229,train
MAN_0142,training_tfexample.tfrecord-00008-of-01000#278,validation
MAN_0143,training_tfexample.tfrecord-00008-of-01000#278,validation
MAN_0144,training_tfexample.tfrecord-00008-of-01000#304,train
MAN_0145,training_tfexample.tfrecord-00008-of-01000#312,validation
MAN_0146,training_tfexample.tfrecord-00008-of-01000#322,validation
MAN_0147,training_tfexample.tfrecord-00008-of-01000#347,validation
MAN_0148,training_tfexample.tfrecord-00008-of-01000#400,train
MAN_0149,training_tfexample.tfrecord-00008-of-01000#422,train
MAN_0150,training_tfexample.tfrecord-00008-of-01000#430,train
MAN_0151,training_tfexample.tfrecord-00009-of-01000#39,validation
MAN_0152,training_tfexample.tfrecord-00009-of-01000#39,validation
MAN_0153,training_tfexample.tfrecord-00009-of-01000#40,validation
MAN_0154,training_tfexample.tfrecord-00009-of-01000#178,train
MAN_0155,training_tfexample.tfrecord-00009-of-01000#204,validation
MAN_0156,training_tfexample.tfrecord-00009-of-01000#220,train
MAN_0157,training_tfexample.tfrecord-00009-of-01000#223,train
MAN_0158,training_tfexample.tfrecord-00009-of-01000#228,train
MAN_0159,training_tfexample.tfrecord-00009-of-01000#229,validation
MAN_0160,training_tfexample.tfrecord-00009-of-01000#267,train
MAN_0161,training_tfexample.tfrecord-00009-of-01000#302,train
MAN_0162,training_tfexample.tfrecord-00009-of-01000#321,train
MAN_0163,training_tfexample.tfrecord-00009-of-01000#358,train
MAN_0164,training_tfexample.tfrecord-00009-of-01000#364,validation
MAN_0165,training_tfexample.tfrecord-00009-of-01000#373,train
MAN_0166,training_tfexample.tfrecord-00009-of-01000#379,validation
MAN_0167,training_tfexample.tfrecord-00009-of-01000#407,train
MAN_0168,training_tfexample.tfrecord-00009-of-01000#436,train
